STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,city,code
39,131,01074078,0500000US39131,39131,pike,06,1140324458,9567612,Pike County,OH
46,003,01266983,0500000US46003,46003,aurora,06,1834813753,11201379,Aurora County,SD
55,035,01581077,0500000US55035,55035,eau claire,06,1652211310,18848512,Eau Claire County,WI
72,145,01804553,0500000US72145,72145,vega baja,13,118766803,57805868,Vega Baja Municipio,PR
48,259,01383915,0500000US48259,48259,kendall,06,1715747531,1496797,Kendall County,TX
40,015,01101795,0500000US40015,40015,caddo,06,3310745124,30820525,Caddo County,OK
19,093,00465235,0500000US19093,19093,ida,06,1117599859,1406461,Ida County,IA
28,071,00695759,0500000US28071,28071,lafayette,06,1636141755,123052156,Lafayette County,MS
12,027,00294452,0500000US12027,12027,desoto,06,1649978040,6247257,DeSoto County,FL
31,137,00835890,0500000US31137,31137,phelps,06,1398048574,1646534,Phelps County,NE
26,143,01623014,0500000US26143,26143,roscommon,06,1345852870,156421369,Roscommon County,MI
16,075,00394896,0500000US16075,16075,payette,06,1053857317,8870732,Payette County,ID
45,083,01248592,0500000US45083,45083,spartanburg,06,2092597504,29211230,Spartanburg County,SC
36,009,00974103,0500000US36009,36009,cattaraugus,06,3388637061,36604688,Cattaraugus County,NY
18,037,00451675,0500000US18037,18037,dubois,06,1106624776,20884565,Dubois County,IN
19,147,00465262,0500000US19147,19147,palo alto,06,1460391660,14437623,Palo Alto County,IA
20,207,00485064,0500000US20207,20207,woodson,06,1289347405,19251488,Woodson County,KS
26,025,01622955,0500000US26025,26025,calhoun,06,1829249870,31275675,Calhoun County,MI
31,099,00835871,0500000US31099,31099,kearney,06,1337063630,274634,Kearney County,NE
40,149,01101862,0500000US40149,40149,washita,06,2598189859,14579002,Washita County,OK
46,057,01265766,0500000US46057,46057,hamlin,06,1313731177,79864239,Hamlin County,SD
72,129,01804545,0500000US72129,72129,san lorenzo,13,137547980,256425,San Lorenzo Municipio,PR
48,081,01383826,0500000US48081,48081,coke,06,2360696270,42788774,Coke County,TX
72,019,01804489,0500000US72019,72019,barranquitas,13,88714041,77812,Barranquitas Municipio,PR
20,181,00485053,0500000US20181,20181,sherman,06,2735193305,548248,Sherman County,KS
29,081,00758495,0500000US29081,29081,harrison,06,1871276777,10103762,Harrison County,MO
40,135,01101855,0500000US40135,40135,sequoyah,06,1743779422,105832791,Sequoyah County,OK
08,035,00198133,0500000US08035,8035,douglas,06,2176272717,6752511,Douglas County,CO
18,059,00450357,0500000US18059,18059,hancock,06,792580849,2610512,Hancock County,IN
19,013,00465196,0500000US19013,19013,black hawk,06,1465369216,17862718,Black Hawk County,IA
22,061,00558077,0500000US22061,22061,lincoln,15,1221806136,1897709,Lincoln Parish,LA
29,107,00758508,0500000US29107,29107,lafayette,06,1627640379,27215050,Lafayette County,MO
39,047,01074036,0500000US39047,39047,fayette,06,1052470875,1693045,Fayette County,OH
48,163,01383867,0500000US48163,48163,frio,06,2935753508,2193620,Frio County,TX
48,445,01384008,0500000US48445,48445,terry,06,2302083227,5443861,Terry County,TX
72,061,01804511,0500000US72061,72061,guaynabo,13,71444703,468234,Guaynabo Municipio,PR
56,031,01605080,0500000US56031,56031,platte,06,5398019716,69035952,Platte County,WY
19,099,00465238,0500000US19099,19099,jasper,06,1891773617,6565650,Jasper County,IA
20,035,00484987,0500000US20035,20035,cowley,06,2915656996,17314108,Cowley County,KS
38,039,01034219,0500000US38039,38039,griggs,06,1835826859,19759408,Griggs County,ND
22,021,00558477,0500000US22021,22021,caldwell,15,1371203830,29277303,Caldwell Parish,LA
27,017,00659454,0500000US27017,27017,carlton,06,2230821122,36133709,Carlton County,MN
18,087,00450368,0500000US18087,18087,lagrange,06,983237254,18317909,LaGrange County,IN
20,209,00485065,0500000US20209,20209,wyandotte,06,392647716,11890112,Wyandotte County,KS
19,195,00465286,0500000US19195,19195,worth,06,1036314927,4709127,Worth County,IA
31,135,00835889,0500000US31135,31135,perkins,06,2287828019,2840176,Perkins County,NE
08,095,00198163,0500000US08095,8095,phillips,06,1781724973,301808,Phillips County,CO
29,003,00758456,0500000US29003,29003,andrew,06,1120696556,9649938,Andrew County,MO
36,117,00974156,0500000US36117,36117,wayne,06,1563903156,2018194942,Wayne County,NY
36,071,00974134,0500000US36071,36071,orange,06,2103888458,68104062,Orange County,NY
13,195,01688004,0500000US13195,13195,madison,06,731184844,8484618,Madison County,GA
31,151,00835897,0500000US31151,31151,saline,06,1486698709,5934626,Saline County,NE
17,081,00424242,0500000US17081,17081,jefferson,06,1479314409,32679991,Jefferson County,IL
19,067,00465222,0500000US19067,19067,floyd,06,1296631080,1942548,Floyd County,IA
19,107,00465242,0500000US19107,19107,keokuk,06,1500067253,1929323,Keokuk County,IA
31,143,00835893,0500000US31143,31143,polk,06,1135309850,5947394,Polk County,NE
20,135,00485031,0500000US20135,20135,ness,06,2783557953,667491,Ness County,KS
27,123,00659507,0500000US27123,27123,ramsey,06,394086415,46423386,Ramsey County,MN
29,015,00758462,0500000US29015,29015,benton,06,1823463548,125579915,Benton County,MO
42,021,01213662,0500000US42021,42021,cambria,06,1782823119,13677295,Cambria County,PA
48,065,01383818,0500000US48065,48065,carson,06,2383359749,10064086,Carson County,TX
72,027,01804493,0500000US72027,72027,camuy,13,120058277,40430074,Camuy Municipio,PR
51,011,01497238,0500000US51011,51011,appomattox,06,863689281,3204692,Appomattox County,VA
51,830,01789076,0500000US51830,51830,williamsburg,25,23098592,416082,Williamsburg city,VA
48,413,01383992,0500000US48413,48413,schleicher,06,3394546071,87401,Schleicher County,TX
19,015,00465197,0500000US19015,19015,boone,06,1480363619,5358112,Boone County,IA
28,075,00695761,0500000US28075,28075,lauderdale,06,1822451131,29787695,Lauderdale County,MS
21,033,00516863,0500000US21033,21033,caldwell,06,893006769,8700648,Caldwell County,KY
48,069,01383820,0500000US48069,48069,castro,06,2316573414,12584396,Castro County,TX
28,117,00695779,0500000US28117,28117,prentiss,06,1074778137,8353594,Prentiss County,MS
20,205,00485063,0500000US20205,20205,wilson,06,1477377648,12056867,Wilson County,KS
20,113,00485021,0500000US20113,20113,mcpherson,06,2326520576,6030190,McPherson County,KS
31,163,00835903,0500000US31163,31163,sherman,06,1465489243,15062146,Sherman County,NE
17,035,00424219,0500000US17035,17035,cumberland,06,896203087,2531272,Cumberland County,IL
05,027,00063761,0500000US05027,5027,columbia,06,1984105630,1774699,Columbia County,AR
06,075,00277302,0500000US06075,6075,san francisco,06,121455687,479136515,San Francisco County,CA
21,003,00516848,0500000US21003,21003,allen,06,891830441,19492342,Allen County,KY
36,015,00974106,0500000US36015,36015,chemung,06,1055038643,8874334,Chemung County,NY
46,099,01265772,0500000US46099,46099,minnehaha,06,2090540344,17349847,Minnehaha County,SD
51,051,01497376,0500000US51051,51051,dickenson,06,856108125,8073687,Dickenson County,VA
08,039,00198136,0500000US08039,8039,elbert,06,4793658887,442148,Elbert County,CO
16,047,00395441,0500000US16047,16047,gooding,06,1888835916,12569370,Gooding County,ID
17,165,00424283,0500000US17165,17165,saline,06,983746632,18008533,Saline County,IL
20,045,00484992,0500000US20045,20045,douglas,06,1180703878,48598501,Douglas County,KS
27,151,00659520,0500000US27151,27151,swift,06,1921870988,26208985,Swift County,MN
39,117,01074071,0500000US39117,39117,morrow,06,1051881046,2819351,Morrow County,OH
48,125,01383848,0500000US48125,48125,dickens,06,2335454690,9057848,Dickens County,TX
48,449,01384010,0500000US48449,48449,titus,06,1051683607,50727822,Titus County,TX
72,135,01804548,0500000US72135,72135,toa alta,13,69972604,1405463,Toa Alta Municipio,PR
51,093,01702378,0500000US51093,51093,isle of wight,06,817464438,122256199,Isle of Wight County,VA
