ALABAMA - Metropolitan Counties,Autauga,57,0,5,2,50,282,18,231,33,
,Bibb,19,0,2,4,13,154,67,79,8,
,Calhoun,38,0,8,7,23,813,286,525,2,
,Etowah,62,1,4,0,57,485,73,383,29,
,Geneva,51,1,8,2,40,265,13,229,23,
,Hale,21,0,3,1,17,160,68,83,9,
,Henry,31,2,3,2,24,111,40,54,17,
,Houston,66,0,16,10,40,642,251,374,17,
,Jefferson,349,5,51,109,184,"5,857","2,345","3,073",439,36
,Limestone,37,2,6,5,24,569,181,342,46,
,Madison,308,7,17,55,229,"2,420",839,"1,421",160,9
,Mobile,250,5,28,30,187,"2,190",770,"1,223",197,
,Morgan,40,0,6,7,27,406,257,145,4,
,Russell,110,0,5,3,102,429,167,221,41,
,Shelby,222,1,19,14,188,"1,291",323,862,106,
,St. Clair,13,1,2,0,10,309,186,113,10,
,Tuscaloosa,190,2,13,21,154,"1,753",611,"1,000",142,
,Walker2,3,0,0,0,3,,78,,54,
ALABAMA - Nonmetropolitan Counties,Barbour3,1,0,0,0,1,,,,1,
,Butler2,28,1,3,0,24,,,107,14,
,Choctaw,4,0,0,0,4,13,8,5,0,
,Clarke,63,7,5,2,49,43,26,9,8,
,Clay,4,0,0,0,4,5,1,4,0,
,Cleburne,24,0,9,1,14,189,78,94,17,
,Coffee,21,0,2,0,19,148,57,76,15,
,Conecuh,32,0,5,2,25,120,25,87,8,
,Covington,36,0,4,0,32,215,87,122,6,
,Crenshaw2,34,0,2,0,32,,,120,14,
,Cullman,95,3,14,6,72,"1,216",350,824,42,
,Dale,29,0,9,0,20,148,10,127,11,
,Dallas,72,0,5,6,61,454,143,276,35,
,Escambia,27,1,4,1,21,183,51,128,4,
,Fayette3,7,0,0,0,7,,,57,17,
,Franklin,34,0,1,2,31,170,54,105,11,
,Jackson2,38,0,4,1,33,,,,20,
,Lamar,1,0,0,0,1,2,2,0,0,
,Macon,19,0,1,3,15,6,2,2,2,
,Marengo,17,0,2,2,13,163,62,88,13,
,Monroe,29,1,0,0,28,90,41,46,3,
,Pickens,15,0,5,0,10,47,26,20,1,
,Pike,14,1,2,0,11,99,35,53,11,
,Randolph2,41,0,1,0,40,,,222,17,
,Talladega,43,0,1,9,33,838,267,513,58,
,Tallapoosa2,6,1,0,0,5,,,202,10,
,Wilcox,3,0,0,0,3,44,9,31,4,
,Winston,26,0,4,1,21,200,54,138,8,
