ALABAMA - Metropolitan Counties2,Autauga,77,1,7,13,56,469,161,271,37,6,,
,Blount,71,3,9,3,56,964,333,551,80,3,,
,Calhoun,21,0,11,1,9,675,237,437,1,0,,
,Chilton,88,1,16,3,68,772,302,414,56,0,,
,Colbert,31,0,1,1,29,125,33,89,3,0,,
,Elmore,56,2,10,9,35,768,269,454,45,0,,
,Etowah,156,0,12,3,141,669,277,327,65,6,,
,Geneva,30,0,3,1,26,249,82,144,23,1,,
,Greene,50,1,2,2,45,144,62,68,14,1,,
,Henry,33,2,1,1,29,126,44,73,9,1,,
,Houston,83,1,9,7,66,606,193,355,58,1,,
,Jefferson,569,9,55,153,352,"4,125","2,348","1,678",99,20,,
,Lauderdale,10,0,1,0,9,143,50,85,8,5,,
,Lawrence,61,0,4,5,52,490,161,293,36,9,,
,Lee,0,0,0,0,0,124,19,105,0,7,,
,Limestone,26,0,1,2,23,200,56,123,21,0,,
,Lowndes,37,0,1,6,30,277,143,115,19,79,,
,Mobile,241,6,19,43,173,"2,517",844,"1,437",236,4,,
,Montgomery,80,3,1,10,66,613,248,307,58,4,,
,Morgan,38,0,9,3,26,524,269,236,19,0,,
,Russell,29,0,3,2,24,531,185,319,27,0,,
,Shelby,118,1,24,13,80,"1,309",409,810,90,3,,
,St. Clair,42,1,16,1,24,669,245,409,15,0,,
,Tuscaloosa,228,2,8,21,197,"1,525",427,970,128,5,,
ALABAMA - Nonmetropolitan Counties2,Baldwin,91,0,10,13,68,982,374,556,52,7,,
,Barbour,3,0,0,0,3,54,24,26,4,3,,
,Bullock,12,0,2,2,8,70,66,3,1,8,,
,Butler,43,1,5,2,35,277,90,177,10,4,,
,Chambers,0,0,0,0,0,0,0,0,0,0,,
,Cherokee,48,1,2,1,44,535,216,296,23,8,,
,Choctaw,7,1,0,0,6,29,14,11,4,0,,
,Clay,12,0,0,0,12,52,13,34,5,0,,
,Coffee,29,0,1,3,25,239,101,121,17,5,,
,Conecuh,43,0,3,5,35,190,60,117,13,1,,
,Coosa,33,0,1,2,30,245,110,128,7,4,,
,Crenshaw,57,2,0,2,53,198,92,94,12,1,,
,Cullman,113,1,16,3,93,"1,235",383,800,52,0,,
,Dale,65,0,9,3,53,205,51,146,8,3,,
,Dallas,73,0,6,11,56,614,207,381,26,3,,
,De Kalb,179,4,21,2,152,908,320,515,73,0,,
,Escambia,42,0,3,4,35,396,126,228,42,0,,
,Fayette,6,0,0,0,6,90,34,50,6,2,,
,Franklin,34,2,4,1,27,319,102,195,22,0,,
,Jackson,78,1,4,1,72,621,232,329,60,4,,
,Lamar,2,0,2,0,0,4,1,3,0,0,,
,Macon,0,0,0,0,0,1,1,0,0,0,,
,Marengo,23,0,4,1,18,180,68,103,9,3,,
,Marion,28,0,1,1,26,247,91,133,23,1,,
,Marshall,55,0,9,1,45,817,312,461,44,3,,
,Monroe,33,0,1,1,31,100,53,44,3,1,,
,Pickens,4,0,1,0,3,17,6,10,1,0,,
,Pike,4,0,0,0,4,33,11,22,0,0,,
,Randolph,44,0,4,2,38,319,124,176,19,1,,
,Sumter,12,0,1,2,9,22,12,7,3,0,,
,Talladega,56,1,4,4,47,957,335,545,77,5,,
,Tallapoosa,17,1,2,1,13,233,109,112,12,0,,
,Washington,26,1,0,0,25,177,44,114,19,2,,
,Winston,13,0,0,0,13,185,76,100,9,0,,
ARIZONA - Metropolitan Counties,Coconino,141,5,10,7,119,531,181,335,15,28,,
,Maricopa,884,6,45,72,761,"4,955","1,371","3,143",441,102,,
,Mohave,145,6,11,15,113,"2,144",762,"1,245",137,11,,
,Pima,607,16,62,163,366,"11,711","2,857","8,007",847,96,,
,Pinal,227,5,47,22,153,"3,789",710,"2,654",425,17,,
,Yavapai,312,9,13,5,285,"1,320",465,764,91,12,,
ARIZONA - Nonmetropolitan Counties,Apache,45,1,0,1,43,176,95,74,7,20,,
,Cochise,367,3,15,12,337,797,334,400,63,16,,
,Gila,34,1,1,3,29,347,55,261,31,3,,
,Graham3,,0,0,1,,227,62,152,13,10,,
,La Paz,41,0,2,0,39,390,113,253,24,0,,
,Navajo,59,2,1,2,54,610,383,181,46,7,,
,Santa Cruz,7,1,2,2,2,276,103,131,42,9,,
ARKANSAS - Metropolitan Counties,Benton,158,1,21,1,135,459,227,216,16,2,,
,Cleveland,5,0,0,0,5,113,68,37,8,0,,
,Craighead,12,1,0,3,8,296,120,163,13,2,,
,Crawford,139,1,18,1,119,334,67,237,30,1,,
,Crittenden,181,1,7,15,158,454,130,286,38,7,,
,Faulkner,46,0,8,0,38,921,291,554,76,6,,
,Franklin,39,0,4,0,35,191,69,109,13,4,,
,Jefferson,69,2,5,7,55,531,238,200,93,5,,
,Lincoln,3,1,0,1,1,99,52,43,4,3,,
,Lonoke,116,3,9,3,101,787,308,403,76,7,,
,Madison,21,0,5,0,16,122,49,56,17,0,,
,Miller,14,0,4,1,9,279,84,158,37,3,,
,Poinsett,21,0,5,0,16,35,14,16,5,3,,
,Pulaski,409,6,25,31,347,"2,244",896,"1,144",204,13,,
