ALABAMA - Metropolitan Counties,Autauga,72,0,15,,3,54,444,160,238,46,
,Baldwin,111,0,13,,27,71,674,250,380,44,
,Bibb,8,0,0,,0,8,123,65,40,18,
,Blount,91,0,9,,0,82,947,302,562,83,
,Calhoun,28,0,7,,5,16,453,183,259,11,
,Chilton,84,1,23,,1,59,604,228,332,44,
,Elmore,69,0,18,,6,45,783,269,494,20,
,Etowah,110,2,25,,3,80,607,261,310,36,
,Geneva,36,1,10,,1,24,296,87,186,23,
,Hale,39,0,3,,1,35,137,44,78,15,
,Henry,27,2,4,,1,20,146,75,61,10,
,Houston,103,0,25,,12,66,605,185,361,59,
,Jefferson,705,5,81,,183,436,"3,678","1,908","1,664",106,31
,Lawrence,65,2,9,,5,49,459,142,286,31,
,Limestone,86,0,14,,5,67,787,263,468,56,
,Lowndes,32,2,6,,1,23,213,99,88,26,
,Madison,317,1,62,,30,224,"2,215",630,"1,418",167,
,Mobile,224,5,48,,40,131,"2,387",739,"1,421",227,
,Montgomery,12,0,0,,3,9,146,76,53,17,
,Russell,55,3,10,,1,41,375,122,219,34,
,Tuscaloosa,223,6,7,,26,184,"1,446",461,872,113,
ALABAMA - Nonmetropolitan Counties,Barbour,21,1,2,,2,16,115,43,63,9,
,Butler,35,1,6,,0,28,141,49,85,7,
,Chambers,4,0,0,,0,4,120,69,45,6,
,Cherokee,64,1,12,,1,50,448,169,250,29,
,Choctaw,7,0,0,,0,7,42,19,22,1,
,Clarke,56,0,6,,4,46,135,62,57,16,
,Cleburne,3,0,0,,0,3,100,38,61,1,
,Coffee,22,0,2,,2,18,174,68,90,16,
,Conecuh,28,1,4,,1,22,89,29,54,6,
,Coosa,13,0,2,,1,10,212,82,119,11,
,Covington,50,0,17,,1,32,381,105,246,30,
,Crenshaw,54,2,9,,4,39,153,68,71,14,
,Cullman,53,3,33,,1,16,929,310,563,56,
,Dale,34,1,9,,0,24,163,43,107,13,
,Dallas,60,2,9,,6,43,509,176,305,28,
,De Kalb,157,2,31,,3,121,801,333,395,73,
,Fayette,8,0,1,,1,6,97,31,58,8,
,Franklin,47,1,8,,4,34,285,102,173,10,
,Greene,35,1,1,,3,30,92,32,48,12,
,Jackson,100,1,33,,1,65,577,220,298,59,
,Macon,28,0,2,,6,20,189,84,88,17,
,Marengo,35,1,2,,2,30,194,72,107,15,
,Marion,22,1,2,,0,19,168,59,97,12,
,Monroe,20,0,0,,1,19,121,50,65,6,
,Pike,18,1,3,,2,12,107,29,71,7,
,Randolph,7,0,1,,0,6,176,81,94,1,
,Sumter,21,2,1,,3,15,71,30,37,4,
,Talladega,79,1,11,,11,56,858,315,479,64,
,Tallapoosa,21,2,10,,0,9,186,75,103,8,
,Washington,34,0,1,,0,33,165,55,97,13,
,Wilcox,29,2,2,,2,23,79,15,56,8,
,Winston,26,2,5,,0,19,168,86,74,8,
ARIZONA - Metropolitan Counties,Cochise,231,2,,9,9,211,706,106,558,42,0
,Coconino,109,1,,22,3,83,421,136,269,16,28
,Maricopa,"1,100",18,,79,78,925,"5,227","1,231","3,471",525,58
,Mohave,132,7,,5,13,107,"2,140",787,"1,190",163,
,Pima,679,16,,80,153,430,"9,606","2,124","6,794",688,74
,Pinal4,158,8,,28,18,104,,618,"2,754",,12
,Yavapai,160,1,,30,7,122,"1,242",396,736,110,10
,Yuma,163,6,15,,4,138,"1,179",557,539,83,9
ARIZONA - Nonmetropolitan Counties,Apache,53,0,,2,3,48,206,96,101,9,35
,Gila,64,1,,3,1,59,407,89,278,40,
,Graham,96,0,,1,0,95,172,50,103,19,1
,La Paz,53,0,,0,4,49,386,103,255,28,1
,Navajo,54,0,,4,0,50,505,268,190,47,4
,Santa Cruz,2,0,,0,1,1,202,78,89,35,0
ARKANSAS - Metropolitan Counties,Benton,85,1,27,,2,55,417,198,197,22,8
,Cleveland,1,0,0,,0,1,99,52,44,3,2
,Craighead,16,0,8,,0,8,258,114,136,8,3
,Crawford,91,1,6,,2,82,404,91,279,34,0
,Crittenden,140,0,6,,3,131,453,163,254,36,4
,Faulkner,95,1,23,,1,70,"1,179",347,708,124,7
,Garland,319,2,45,,17,255,"1,997",826,"1,076",95,0
,Grant,20,0,2,,0,18,202,75,111,16,0
,Jefferson,53,2,13,,1,37,537,210,269,58,4
,Lincoln,6,0,0,,0,6,52,27,22,3,0
,Lonoke,52,1,6,,2,43,339,72,181,86,6
,Madison,34,0,4,,2,28,107,61,43,3,2
,Perry,39,0,4,,0,35,233,73,155,5,0
,Poinsett,4,0,2,,1,1,99,1,97,1,0
,Pulaski,317,0,16,,28,273,"2,247",885,"1,149",213,17
,Sebastian,55,0,7,,1,47,334,99,219,16,1
,Washington,160,1,17,,1,141,492,191,270,31,5
ARKANSAS - Nonmetropolitan Counties,Arkansas,16,2,2,,0,12,144,33,88,23,0
,Ashley,14,0,5,,0,9,199,59,127,13,1
,Baxter,18,1,6,,0,11,670,180,465,25,1
,Bradley,9,0,0,,1,8,29,8,14,7,0
,Calhoun,4,0,1,,0,3,18,5,8,5,0
,Carroll,25,0,4,,0,21,302,51,230,21,0
,Chicot,5,0,0,,2,3,98,37,60,1,0
,Clark,10,0,1,,0,9,114,37,72,5,0
,Clay,19,0,12,,0,7,52,25,27,0,2
,Cleburne,34,1,3,,1,29,516,210,279,27,4
,Columbia,33,0,2,,2,29,135,39,82,14,1
,Conway,20,0,1,,0,19,348,74,249,25,4
,Cross,37,0,4,,0,33,172,69,91,12,1
,Dallas,3,0,1,,0,2,41,20,21,0,1
,Drew,31,0,2,,1,28,157,51,90,16,3
,Franklin,28,0,4,,0,24,217,71,139,7,3
,Fulton,16,0,4,,0,12,66,0,53,13,1
,Greene,13,0,0,,0,13,263,99,160,4,2
,Hempstead,61,0,9,,1,51,274,64,191,19,6
,Howard,7,0,4,,0,3,112,43,68,1,2
,Independence,179,4,21,,13,141,"1,393",513,801,79,19
,Izard,21,2,4,,0,15,251,90,159,2,3
,Johnson,22,2,9,,0,11,203,143,55,5,2
,Lawrence,1,0,0,,0,1,59,13,45,1,0
,Logan,24,2,4,,0,18,276,119,136,21,2
,Marion,42,1,4,,1,36,191,72,117,2,2
