"","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER"
"0","39","131","01074078","0500000US39131","39131","Pike","06",1140324458,9567612
"1","46","003","01266983","0500000US46003","46003","Aurora","06",1834813753,11201379
"2","55","035","01581077","0500000US55035","55035","Eau Claire","06",1652211310,18848512
"3","72","145","01804553","0500000US72145","72145","Vega Baja","13",118766803,57805868
"4","48","259","01383915","0500000US48259","48259","Kendall","06",1715747531,1496797
"5","40","015","01101795","0500000US40015","40015","Caddo","06",3310745124,30820525
"6","19","093","00465235","0500000US19093","19093","Ida","06",1117599859,1406461
"7","28","071","00695759","0500000US28071","28071","Lafayette","06",1636141755,123052156
"8","12","027","00294452","0500000US12027","12027","DeSoto","06",1649978040,6247257
"9","31","137","00835890","0500000US31137","31137","Phelps","06",1398048574,1646534
"10","26","143","01623014","0500000US26143","26143","Roscommon","06",1345852870,156421369
"11","16","075","00394896","0500000US16075","16075","Payette","06",1053857317,8870732
"12","45","083","01248592","0500000US45083","45083","Spartanburg","06",2092597504,29211230
"13","36","009","00974103","0500000US36009","36009","Cattaraugus","06",3388637061,36604688
"14","18","037","00451675","0500000US18037","18037","Dubois","06",1106624776,20884565
"15","19","147","00465262","0500000US19147","19147","Palo Alto","06",1460391660,14437623
"16","20","207","00485064","0500000US20207","20207","Woodson","06",1289347405,19251488
"17","26","025","01622955","0500000US26025","26025","Calhoun","06",1829249870,31275675
"18","31","099","00835871","0500000US31099","31099","Kearney","06",1337063630,274634
"19","40","149","01101862","0500000US40149","40149","Washita","06",2598189859,14579002
"20","46","057","01265766","0500000US46057","46057","Hamlin","06",1313731177,79864239
"21","72","129","01804545","0500000US72129","72129","San Lorenzo","13",137547980,256425
"22","48","081","01383826","0500000US48081","48081","Coke","06",2360696270,42788774
"23","72","019","01804489","0500000US72019","72019","Barranquitas","13",88714041,77812
"24","20","181","00485053","0500000US20181","20181","Sherman","06",2735193305,548248
"25","29","081","00758495","0500000US29081","29081","Harrison","06",1871276777,10103762
"26","40","135","01101855","0500000US40135","40135","Sequoyah","06",1743779422,105832791
"27","08","035","00198133","0500000US08035","08035","Douglas","06",2176272717,6752511
"28","18","059","00450357","0500000US18059","18059","Hancock","06",792580849,2610512
"29","19","013","00465196","0500000US19013","19013","Black Hawk","06",1465369216,17862718
"30","22","061","00558077","0500000US22061","22061","Lincoln","15",1221806136,1897709
"31","29","107","00758508","0500000US29107","29107","Lafayette","06",1627640379,27215050
"32","39","047","01074036","0500000US39047","39047","Fayette","06",1052470875,1693045
"33","48","163","01383867","0500000US48163","48163","Frio","06",2935753508,2193620
"34","48","445","01384008","0500000US48445","48445","Terry","06",2302083227,5443861
"35","72","061","01804511","0500000US72061","72061","Guaynabo","13",71444703,468234
"36","56","031","01605080","0500000US56031","56031","Platte","06",5398019716,69035952
