"","State","Type","County","ViolentCrime","Homicide","Robbery","AggravatedAssault","PropertyCrime","Burglary","Larceny","MotorVehicleTheft","Arson","Rape"
"1","Alabama","Metropolitan","Autauga","73","1","8","52","429","146","233","50",NA,12
"2","Alabama","Metropolitan","Baldwin","127","1","23","98","613","229","342","42",NA,5
"3","Alabama","Metropolitan","Bibb","0","0","0","0","37","20","14","3",NA,0
"4","Alabama","Metropolitan","Blount","394","1","9","367","867","261","501","105",NA,17
"5","Alabama","Metropolitan","Calhoun","23","0","5","11","319","137","181","1",NA,7
"6","Alabama","Metropolitan","Chilton","151","0","3","138","592","247","295","50",NA,10
"7","Alabama","Metropolitan","Elmore","88","4","7","55","677","223","408","46",NA,22
"8","Alabama","Metropolitan","Etowah","135","1","7","107","480","149","255","76",NA,20
"9","Alabama","Metropolitan","Geneva","46","1","2","34","205","71","106","28",NA,9
"10","Alabama","Metropolitan","Hale","33","0","2","29","139","73","55","11",NA,2
"11","Alabama","Metropolitan","Henry","13","0","1","11","86","34","44","8",NA,1
"12","Alabama","Metropolitan","Houston","114","4","7","85","616","179","395","42",NA,18
"13","Alabama","Metropolitan","Jefferson","693","5","173","467","2659","1589","919","151","31",48
"14","Alabama","Metropolitan","Lauderdale","30","1","0","27","285","54","190","41",NA,2
"15","Alabama","Metropolitan","Lawrence","70","0","6","57","326","105","189","32",NA,7
"16","Alabama","Metropolitan","Lee","443","10","18","394","1296","389","807","100",NA,21
"17","Alabama","Metropolitan","Limestone","120","0","9","82","829","202","565","62",NA,29
"18","Alabama","Metropolitan","Lowndes","51","2","9","35","224","96","108","20",NA,5
"19","Alabama","Metropolitan","Madison","341","2","39","256","2257","576","1474","207",NA,44
"20","Alabama","Metropolitan","Mobile","151","9","26","103","2149","612","1299","238",NA,13
"21","Alabama","Metropolitan","Montgomery","117","1","8","104","360","121","198","41",NA,4
"22","Alabama","Metropolitan","Morgan","71","0","2","59","373","192","165","16",NA,10
"23","Alabama","Metropolitan","Russell","66","2","5","39","372","124","206","42",NA,20
"24","Alabama","Metropolitan","Shelby","111","3","8","75","886","251","537","98",NA,25
"25","Alabama","Metropolitan","St. Clair","236","0","4","212","541","214","303","24",NA,20
"26","Alabama","Metropolitan","Tuscaloosa","185","1","22","156","1234","387","726","121",NA,6
"27","Alabama","Metropolitan","Walker","121","2","10","91","908","262","526","120",NA,18
"28","Alabama","Nonmetropolitan","Barbour","32","0","2","26","124","50","65","9",NA,4
"29","Alabama","Nonmetropolitan","Butler","51","2","6","40","140","47","87","6",NA,3
"30","Alabama","Nonmetropolitan","Chambers","1","0","0","1","89","36","53","0",NA,0
"31","Alabama","Nonmetropolitan","Cherokee","72","2","4","57","387","147","192","48",NA,9
"32","Alabama","Nonmetropolitan","Clarke","54","3","2","44","105","47","47","11",NA,5
"33","Alabama","Nonmetropolitan","Clay","2","0","0","2","38","9","27","2",NA,0
"34","Alabama","Nonmetropolitan","Cleburne","7","0","0","6","145","40","96","9",NA,1
"35","Alabama","Nonmetropolitan","Coffee","28","0","0","22","153","68","73","12",NA,6
"36","Alabama","Nonmetropolitan","Coosa","23","0","1","21","174","54","102","18",NA,1
"37","Alabama","Nonmetropolitan","Covington","19","0","1","15","151","52","84","15",NA,3
"38","Alabama","Nonmetropolitan","Cullman","58","2","1","31","910","245","574","91",NA,24
"39","Alabama","Nonmetropolitan","Dale","38","1","1","24","248","64","161","23",NA,12
"40","Alabama","Nonmetropolitan","Dallas","76","1","4","63","428","173","229","26",NA,8
"41","Alabama","Nonmetropolitan","DeKalb","162","2","2","140","736","225","403","108",NA,18
"42","Alabama","Nonmetropolitan","Escambia","3","0","0","3","36","10","20","6",NA,0
"43","Alabama","Nonmetropolitan","Franklin","45","1","4","35","300","85","182","33",NA,5
"44","Alabama","Nonmetropolitan","Greene","42","0","5","37","126","71","49","6",NA,0
"45","Alabama","Nonmetropolitan","Marengo","35","1","4","29","183","72","105","6",NA,1
"46","Alabama","Nonmetropolitan","Marion","31","3","0","25","217","91","115","11",NA,3
"47","Alabama","Nonmetropolitan","Marshall","45","1","1","34","454","189","227","38",NA,9
"48","Alabama","Nonmetropolitan","Monroe","41","1","3","37","116","51","62","3",NA,0
"49","Alabama","Nonmetropolitan","Pike","21","1","2","18","100","27","69","4",NA,0
"50","Alabama","Nonmetropolitan","Talladega","120","2","12","97","708","210","430","68",NA,9
"51","Alabama","Nonmetropolitan","Tallapoosa","25","1","0","21","131","56","68","7",NA,3
"52","Alabama","Nonmetropolitan","Washington","42","2","1","35","137","44","65","28",NA,4
"53","Alabama","Nonmetropolitan","Wilcox","52","2","1","47","137","64","59","14",NA,2
"54","Arizona","Metropolitan","Cochise","212","2","4","196","606","89","458","59","0",10
"55","Arizona","Metropolitan","Coconino","99","3","4","77","419","113","288","18","20",15
"56","Arizona","Metropolitan","Maricopa","1146","22","110","914","5365","1250","3455","660","77",100
"57","Arizona","Metropolitan","Pima","652","18","172","385","8936","1674","6660","602","69",77
"58","Arizona","Metropolitan","Pinal","263","4","13","202","1640","442","987","211","10",44
"59","Arizona","Metropolitan","Yavapai","226","4","9","191","1028","280","653","95","12",22
"60","Arizona","Metropolitan","Yuma","131","6","6","99","1004","387","535","82","5",20
"61","Arizona","Nonmetropolitan","Graham","5","0","0","4","129","30","95","4","13",1
"62","Arizona","Nonmetropolitan","Greenlee","0","0","0","0","60","30","16","14","0",0
"63","Arizona","Nonmetropolitan","La Paz","38","3","3","30","407","155","222","30","0",2
"64","Arizona","Nonmetropolitan","Navajo","73","6","4","55","409","159","214","36","6",8
"65","Arkansas","Metropolitan","Benton","95","2","2","65","663","328","300","35","3",26
"66","Arkansas","Metropolitan","Cleveland","10","0","1","7","71","30","38","3","2",2
"67","Arkansas","Metropolitan","Craighead","46","1","0","28","343","102","205","36","6",17
"68","Arkansas","Metropolitan","Crawford","89","2","0","73","422","99","268","55","0",14
"69","Arkansas","Metropolitan","Crittenden","128","7","20","93","338","129","180","29","2",8
"70","Arkansas","Metropolitan","Faulkner","122","1","3","91","1040","285","609","146","10",27
"71","Arkansas","Metropolitan","Garland","357","0","20","290","1723","831","763","129","0",47
"72","Arkansas","Metropolitan","Grant","47","0","0","43","206","65","123","18","0",4
"73","Arkansas","Metropolitan","Jefferson","82","1","6","62","405","159","200","46","6",13
"74","Arkansas","Metropolitan","Lincoln","16","0","0","15","76","29","38","9","0",1
"75","Arkansas","Metropolitan","Little River","11","0","0","8","71","27","36","8","0",3
"76","Arkansas","Metropolitan","Lonoke","104","1","8","82","456","87","274","95","2",13
"77","Arkansas","Metropolitan","Madison","22","0","1","17","73","35","32","6","2",4
"78","Arkansas","Metropolitan","Miller","27","1","1","14","315","118","159","38","0",11
"79","Arkansas","Metropolitan","Perry","46","0","1","43","150","36","114","0","0",2
"80","Arkansas","Metropolitan","Poinsett","6","0","0","2","1","1","0","0","0",4
"81","Arkansas","Metropolitan","Pulaski","375","5","27","319","1831","411","1190","230","9",24
"82","Arkansas","Metropolitan","Saline","158","2","4","124","837","255","467","115","6",28
"83","Arkansas","Metropolitan","Sebastian","62","0","2","45","313","104","190","19","5",15
"84","Arkansas","Metropolitan","Washington","188","3","0","167","564","185","329","50","5",18
"85","Arkansas","Nonmetropolitan","Arkansas","10","0","3","7","129","42","73","14","2",0
"86","Arkansas","Nonmetropolitan","Ashley","22","0","1","15","184","71","100","13","1",6
"87","Arkansas","Nonmetropolitan","Baxter","57","0","1","43","682","84","551","47","2",13
"88","Arkansas","Nonmetropolitan","Boone","179","0","2","141","310","97","184","29","1",36
"89","Arkansas","Nonmetropolitan","Bradley","8","0","0","6","29","24","2","3","0",2
"90","Arkansas","Nonmetropolitan","Calhoun","4","0","0","3","53","20","30","3","1",1
"91","Arkansas","Nonmetropolitan","Carroll","41","2","0","32","17","1","11","5","1",7
"92","Arkansas","Nonmetropolitan","Chicot","3","0","0","2","76","26","50","0","0",1
"93","Arkansas","Nonmetropolitan","Clark","22","0","1","21","86","18","58","10","1",0
"94","Arkansas","Nonmetropolitan","Clay","6","0","0","4","41","17","21","3","0",2
